cmor_label,title,miptable,cf_std_name,description,cell_methods,dimension,units,positive,realm,priority,requesting_mips,UKESM_component,Owner,Variable_mapping,PP_constraint,Stream,Plan,Ticket,Comment (this goes into file metadata?),Notes (this doesn't)
concso2,Mole Fraction of SO2,aero,mole_fraction_of_sulfur_dioxide_in_air,unset,time: mean,longitude latitude alevel time  ,1,None,aerosol,1,,aerosol,,,,,,,,
conccn,Aerosol Number Concentration,aero,number_concentration_of_ambient_aerosol_in_air,unset,time: mean,longitude latitude alevel time  ,m-3,None,aerosol,2,,aerosol,,,,,,,,
cdnc,Cloud Droplet Number Concentration,aero,number_concentration_of_cloud_liquid_water_particles_in_air,Cloud droplet number concentration in liquid clouds,time: mean,longitude latitude alevel time  ,m-3,None,aerosol,1,,aerosol,,,,,,,,
cldncl,Cloud Droplet Number Concentration of Cloud Tops,aero,number_concentration_of_cloud_liquid_water_particles_in_air_at_liquid_water_cloud_top,"Droplets are liquid only.  Report concentration as seen from space over liquid cloudy portion of grid cell.  This is the value from uppermost model layer with liquid cloud or, if available, it is better to sum over all liquid cloud tops, no matter where they occur, as long as they are seen from the top of the atmosphere. Weight by total liquid cloud top fraction of  (as seen from TOA) each time sample when computing monthly mean.",time: mean,longitude latitude time  ,m-3,None,aerosol,1,,aerosol,,,,,,,,
conccmcn,Number Concentration Coarse Mode Aerosol,aero,number_concentration_of_coarse_mode_ambient_aerosol_in_air,includes all particles with diameter larger than 1 micron,time: mean,longitude latitude alevel time  ,m-3,None,aerosol,2,,aerosol,,,,,,,,
inc,Ice Crystal Number Concentration,aero,number_concentration_of_ice_crystals_in_air,Ice Crystal number concentration in ice clouds,time: mean,longitude latitude alevel time  ,m-3,None,aerosol,1,,aerosol,,,,,,,,
cldnci,Ice Crystal Number Concentration of Cloud Tops,aero,number_concentration_of_ice_crystals_in_air_at_ice_cloud_top,"concentration as seen from space over ice-cloud portion of grid cell.  This is the value from uppermost model layer with ice cloud or, if available, it is the sum over all ice cloud tops, no matter where they occur, as long as they are seen from the top of the atmosphere. Weight by total ice cloud top fraction (as seen from TOA) of each time sample when computing monthly mean.",time: mean,longitude latitude time  ,m-3,None,aerosol,1,,aerosol,,,,,,,,
concnmcn,Number Concentration of Nucleation Mode Aerosol,aero,number_concentration_of_nucleation_mode_ambient_aerosol_in_air,includes all particles with diameter smaller than 3 nm,time: mean,longitude latitude alevel time  ,m-3,None,aerosol,3,,aerosol,,,,,,,,
ps,Surface Air Pressure,aero,surface_air_pressure,"surface pressure, not mean sea level pressure",time: mean,longitude latitude time  ,Pa,None,atmos,0,,atmos-physics,,,,,,,,
orog,Surface Altitude,aero,surface_altitude,"height above the geoid; as defined here, the geoid is a surface of constant geopotential that, if the ocean were at rest, would coincide with mean sea level. Under this definition, the geoid changes as the mean volume of the ocean changes (e.g., due to glacial melt, or global warming of the ocean).  Report here the height above the present-day geoid.  Over ocean, report as 0.0",None,longitude latitude   ,m,None,atmos,0,,atmos-physics,,,,,,,,
rsdsdiff,Surface Diffuse Downwelling Shortwave Radiation,aero,surface_diffuse_downwelling_shortwave_flux_in_air,unset,time: mean,longitude latitude time  ,W m-2,None,aerosol land,2,,radiation,,,,,,,,
rsdscsdiff,Surface Diffuse Downwelling Clear Sky Shortwave Radiation,aero,surface_diffuse_downwelling_shortwave_flux_in_air_assuming_clear_sky,unset,time: mean,longitude latitude time  ,W m-2,None,aerosol land,2,,radiation,,,,,,,,
drynh3,Dry Deposition Rate of NH3,aero,tendency_of_atmosphere_mass_content_of_ammonia_due_to_dry_deposition,"dry deposition includes gravitational settling, impact scavenging, and turbulent deposition",time: mean,longitude latitude time  ,kg m-2 s-1,None,aerosol,3,,aerosol,,,,,,,,
eminh3,Total Emission Rate of NH3,aero,tendency_of_atmosphere_mass_content_of_ammonia_due_to_emission,Integrate 3D emission field vertically to 2d field.,time: mean,longitude latitude time  ,kg m-2 s-1,None,aerosol,1,,aerosol,,,,,,,,
drynh4,Dry Deposition Rate of NH4,aero,tendency_of_atmosphere_mass_content_of_ammonium_dry_aerosol_due_to_dry_deposition,"dry deposition includes gravitational settling, impact scavenging, and turbulent deposition",time: mean,longitude latitude time  ,kg m-2 s-1,None,aerosol,1,,aerosol,,,,,,,,
wetnh4,Wet Deposition Rate of NH4+NH3,aero,tendency_of_atmosphere_mass_content_of_ammonium_dry_aerosol_due_to_wet_deposition,unset,time: mean,longitude latitude time  ,kg m-2 s-1,None,aerosol,1,,aerosol,,,,,,,,
drybc,Dry Deposition Rate of Black Carbon Aerosol Mass,aero,tendency_of_atmosphere_mass_content_of_black_carbon_dry_aerosol_due_to_dry_deposition,"Dry deposition includes gravitational settling, impact scavenging, and turbulent deposition.",time: mean,longitude latitude time  ,kg m-2 s-1,None,aerosol,3,,aerosol,,,,,,,,
emibc,Emission Rate of Black Carbon Aerosol Mass,aero,tendency_of_atmosphere_mass_content_of_black_carbon_dry_aerosol_due_to_emission,Integrate 3D emission field vertically to 2d field.,time: mean,longitude latitude time  ,kg m-2 s-1,None,aerosol,1,,aerosol,,,,,,,,
wetbc,Wet Deposition Rate of Black Carbon Aerosol Mass,aero,tendency_of_atmosphere_mass_content_of_black_carbon_dry_aerosol_due_to_wet_deposition,unset,time: mean,longitude latitude time  ,kg m-2 s-1,None,aerosol,3,,aerosol,,,,,,,,
