cmor_label,title,miptable,cf_std_name,description,cell_methods,dimension,units,positive,realm,priority,requesting_mips,UKESM_component,Owner,Variable_mapping,PP_constraint,Stream,Plan,Ticket,Comment (this goes into file metadata?),Notes (this doesn't)
rhSoil,Carbon Mass Flux into Atmosphere due to Heterotrophic Respiration from Soil on Land,emMon,heterotrophic_respiration_carbon_flux_from_soil,Needed to calculate soil bulk turnover time,time: mean area: mean where land,longitude latitude time  ,kg C m-2 s-1,,land,2,"C4MIP, LUMIP",carbon,,,,,,,,
cfadLidarsr532,CALIPSO Scattering Ratio CFAD,emMon,histogram_of_backscattering_ratio_over_height_above_reference_ellipsoid,CFADs (Cloud Frequency Altitude Diagrams) are joint height - radar reflectivity (or lidar scattering ratio) distributions.,time: mean,longitude latitude plev40 time effectRad ,1,None,atmos,1,CFMIP,cloud,,,,,,,,
cfadDbze94,CloudSat Radar Reflectivity CFAD,emMon,histogram_of_equivalent_reflectivity_factor_over_height_above_reference_ellipsoid,CFADs (Cloud Frequency Altitude Diagrams) are joint height - radar reflectivity (or lidar scattering ratio) distributions.,time: mean,longitude latitude plev40 time effectRad ,1,None,atmos,1,CFMIP,cloud,,,,,,,,
climodis,MODIS Ice Cloud Fraction,emMon,ice_cloud_area_fraction,,time: mean,longitude latitude time  ,%,,atmos,1,CFMIP,cloud,,,,,,,,
clcalipsoice,CALIPSO ice cloud Fraction,emMon,ice_cloud_area_fraction_in_atmosphere_layer,,time: mean,longitude latitude plev40 time  ,%,,,1,,cloud,,,,,,,,
somint,integral wrt depth of product of sea water density and prognostic salinity,emMon,integral_wrt_depth_of_product_of_sea_water_density_and_prognostic_salinity,"Full column sum of density*cell thickness*prognostic salinity. If the model is Boussinesq, then use Boussinesq reference density for the density factor.",time: mean,longitude latitude time  ,(kg/m^2)*1e-3,,ocean,1,FAFMIP,ocean,,,,,,,,
tomint,integral wrt depth of product of sea water density and prognostic temperature,emMon,integral_wrt_depth_of_product_of_sea_water_density_and_prognostic_temperature,"Full column sum of density*cell thickness*prognostic temperature. If the model is Boussinesq, then use Boussinesq reference density for the density factor.",time: mean,longitude latitude time  ,(kg/m^2)*C,,ocean,1,FAFMIP,ocean,,,,,,,,
limfecalc,Iron limitation of Calcareous Phytoplankton,emMon,iron_limitation_of_calcareous_phytoplankton,,time: mean area: mean where sea,longitude latitude alevel time  ,1,,ocean,1,"C4MIP, PMIP",obgc,,,,,,,,
limfediat,Iron limitation of Diatoms,emMon,iron_limitation_of_diatoms,,time: mean area: mean where sea,longitude latitude alevel time  ,1,,ocean,1,"C4MIP, PMIP",obgc,,,,,,,,
limfediaz,Iron limitation of Diazotrophs,emMon,iron_limitation_of_diazotrophs,,time: mean area: mean where sea,longitude latitude alevel time  ,1,,ocean,1,"C4MIP, PMIP",obgc,,,,,,,,
limfemisc,Iron Limitation of Other Phytoplankton,emMon,iron_limitation_of_miscellaneous_phytoplankton,,time: mean area: mean where sea,longitude latitude alevel time  ,1,,ocean,1,"C4MIP, PMIP",obgc,,,,,,,,
limfepico,Iron limitation of Picophytoplankton,emMon,iron_limitation_of_picophytoplankton,,time: mean area: mean where sea,longitude latitude alevel time  ,1,,ocean,1,"C4MIP, PMIP",obgc,,,,,,,,
limirrcalc,Irradiance limitation of Calcareous Phytoplankton,emMon,irradiance_limitation_of_calcareous_phytoplankton,,time: mean area: mean where sea,longitude latitude alevel time  ,1,,ocean,1,"C4MIP, PMIP",obgc,,,,,,,,
limirrdiat,Irradiance limitation of Diatoms,emMon,irradiance_limitation_of_diatoms,,time: mean area: mean where sea,longitude latitude alevel time  ,1,,ocean,1,"C4MIP, PMIP",obgc,,,,,,,,
limirrdiaz,Irradiance limitation of Diazotrophs,emMon,irradiance_limitation_of_diazotrophs,,time: mean area: mean where sea,longitude latitude alevel time  ,1,,ocean,1,"C4MIP, PMIP",obgc,,,,,,,,
limirrmisc,Irradiance Limitation of Other Phytoplankton,emMon,irradiance_limitation_of_miscellaneous_phytoplankton,,time: mean area: mean where sea,longitude latitude alevel time  ,1,,ocean,1,"C4MIP, PMIP",obgc,,,,,,,,
limirrpico,Irradiance limitation of Picophytoplankton,emMon,irradiance_limitation_of_picophytoplankton,,time: mean area: mean where sea,longitude latitude alevel time  ,1,,ocean,1,"C4MIP, PMIP",obgc,,,,,,,,
sftgif,Fraction of Grid Cell Covered with Glacier,emMon,land_ice_area_fraction,"fraction of grid cell occupied by permanent ice (i.e., glaciers).",time: mean area: mean where ice_sheet,longitude latitude time  ,%,None,land,1,ISMIP6,snow-permafrost,,,,,,,,
libmassbf,Land ice basal mass balance flux,emMon,land_ice_basal_specific_mass_balance_flux,Specific mass balance means the net rate at which ice is added per unit area at the land ice base. Computed as the total basal mass balance on the land ice portion of the grid cell divided by land ice area in the grid cell. A negative value means loss of ice,time: mean area: mean where ice_sheet,longitude latitude time  ,kg m-2 s-1,,landIce,2,ISMIP6,icesheet,,,,,,,,
litempbot,Temperature at the basal interface of the land ice.,emMon,land_ice_basal_temperature,"Basal temperature that is used to force the ice sheet models. Report temperature AT interface. Beneath ice shelves it is the temperature AT ice ocean interface. Beneath grounded ice, it is the temperature AT ice bedrock interface",time: mean area: mean where ice_sheet,longitude latitude time  ,K,,landIce,2,ISMIP6,icesheet,,,,,,,,
licalvf,Land ice calving flux,emMon,land_ice_calving_flux,Loss of ice mass resulting from iceberg calving. Computed as the rate of mass loss by the ice shelf (in kg s-1) divided by the horizontal area of the ice sheet (m2) in the grid box.,time: mean area: mean where ice_sheet,longitude latitude time  ,kg m-2 s-1,,landIce,3,ISMIP6,icesheet,,,,,,,,
lifmassbf,Land ice vertical front mass balance flux,emMon,land_ice_front_mass_balance_flux,Total mass balance at the ice front (or vertical margin). It includes both iceberg calving and melt on vertical ice front,time: mean area: mean where ice_sheet,longitude latitude time  ,kg m-2 s-1,,landIce,3,ISMIP6,icesheet,,,,,,,,
acabf,Surface Mass Balance flux,emMon,land_ice_surface_specific_mass_balance_flux,Specific mass balance means the net rate at which ice is added per unit area at the land ice surface. Computed as the total surface mass balance on the land ice portion of the grid cell divided by land ice area in the grid cell. A negative value means loss of ice,time: mean area: mean where ice_sheet,longitude latitude time  ,kg m-2 s-1,,landIce,2,ISMIP6,icesheet,,,,,,,,
litempsnic,Temperature at the interface between land ice and snow or firn,emMon,land_ice_temperature_at_snow_or_firn_base,"Surface Temperature that is used to force ice sheet models. It does not vary with seasons. In some models it is the temperature at the base of the snow, and in other at the base of firn. Report surface temperature of ice sheet where snow or firn thickness is zero",time: mean area: mean where ice_sheet,longitude latitude time  ,K,,landIce,2,ISMIP6,icesheet,,,,,,,,
fN2O,Total land N2O flux ,emMon,land_net_n2o_flux,as specified by C4MIP,time: mean area: mean where land,longitude latitude time  ,kg m-2 s-1,,land,1,"C4MIP, LUMIP, PMIP",carbon,,,,,,,,
fNOx,Total land NOx flux ,emMon,land_net_nox_flux,,time: mean area: mean where land,longitude latitude time  ,kg N m-2 s-1,,land,2,"C4MIP, LUMIP",carbon,,,,,,,,
fNloss,"Total N lost (including NHx, NOx, N2O, N2 and leaching)",emMon,land_nitrogen_lost,Not all models split losses into gasesous and leaching,time: mean area: mean where land,longitude latitude time  ,kg N m-2 s-1,,land,1,"C4MIP, LUMIP",carbon,,,,,,,,
fNgas,"Total N lost to the atmosphere (sum of NHx, NOx, N2O, N2)",emMon,land_nitrogen_lost_to_atmosphere,as specified by C4MIP,time: mean area: mean where land,longitude latitude time  ,kg m-2 s-1,,land,1,"C4MIP, LUMIP, PMIP",carbon,,,,,,,,
fNgasFire,"Total N lost to the atmosphere (including NHx, NOx, N2O, N2) from fire.",emMon,land_nitrogen_lost_to_atmosphere_due to fire,,time: mean area: mean where land,longitude latitude time  ,kg N m-2 s-1,,land,2,"C4MIP, LUMIP",carbon,,,,,,,,
fNgasNonFire,"Total N lost to the atmosphere (including NHx, NOx, N2O, N2) from all processes except fire.",emMon,land_nitrogen_lost_to_atmosphere_not due to fire,,time: mean area: mean where land,longitude latitude time  ,kg N m-2 s-1,,land,2,"C4MIP, LUMIP",carbon,,,,,,,,
fNleach,"Total N loss to leaching or runoff (sum of ammonium, nitrite and nitrate)",emMon,land_nitrogen_lost_to_leaching,as specified by C4MIP,time: mean area: mean where land,longitude latitude time  ,kg m-2 s-1,,land,1,"C4MIP, LUMIP, PMIP",carbon,,,,,,,,
lateralCtransfer,Lateral transfer of carbon into (positive) or out of (negative) a grid cell.,emMon,lateral_carbon_transfer_over_land,as specified by C4MIP,,longitude latitude   ,kg m-2 s-1,,land,1,PMIP,carbon,,,,,,,,
lai,Leaf Area Index,emMon,leaf_area_index,a ratio obtained by dividing the total upper leaf surface area of vegetation by the (horizontal) surface area of the land on which it grows.,time: mean,longitude latitude time  ,1,None,land,1,LS3MIP,land,,,,,,,,
cLeaf,Carbon Mass in Leaves,emMon,leaf_carbon_content,unset,time: mean,longitude latitude time  ,kg m-2,None,land,2,LS3MIP,carbon,,,,,,,,
nLeaf,Nitrogen Mass in Leaves,emMon,leaf_nitrogen_content,,time: mean area: mean where land,longitude latitude time  ,kg N/m2,,land,2,"C4MIP, LUMIP",carbon,,,,,,,,
clwmodis,MODIS Liquid Cloud Fraction,emMon,liquid_cloud_area_fraction,,time: mean,longitude latitude time  ,%,,atmos,1,CFMIP,cloud,,,,,,,,
clcalipsoliq,CALIPSO liquid cloud Fraction,emMon,liquid_cloud_area_fraction_in_atmosphere_layer,,time: mean,longitude latitude plev40 time  ,%,,atmos,1,CFMIP,cloud,,,,,,,,
mrsll,Liquid water content of soil layer,emMon,liquid_moisture_content_of_soil_layer,as specified by C4MIP,time: mean area: mean where land,longitude latitude slevel time  ,kg m-2,,land,1,"C4MIP, LUMIP, PMIP",land,,,,,,,,
c13Litter,Mass of 13C in Litter Pool,emMon,litter_c13_content,as specified by C4MIP,time: mean area: mean where land,longitude latitude time  ,kg m-2,,land,2,"C4MIP, LUMIP, PMIP",carbon,,,,,,,,
c14Litter,Mass of 14C in Litter Pool,emMon,litter_c14_content,as specified by C4MIP,time: mean area: mean where land,longitude latitude time  ,kg m-2,,land,2,"C4MIP, LUMIP, PMIP",carbon,,,,,,,,
cLitter,Carbon Mass in Litter Pool,emMon,litter_carbon_content,unset,time: mean,longitude latitude time  ,kg m-2,None,land,1,LS3MIP,carbon,,,,,,,,
fVegLitter,Total Carbon Mass Flux from Vegetation to Litter,emMon,litter_carbon_flux,unset,time: mean,longitude latitude time  ,kg m-2 s-1,None,land,1,LS3MIP,carbon,,,,,,,,
nLitter,Nitrogen Mass in Litter Pool,emMon,litter_nitrogen_content,as specified by C4MIP,time: mean area: mean where land,longitude latitude time  ,kg m-2,,land,1,"C4MIP, LUMIP, PMIP",carbon,,,,,,,,
fNVegLitter,Total Nitrogen Mass Flux from Vegetation to Litter,emMon,litter_nitrogen_flux,,time: mean area: mean where land,longitude latitude time  ,kg N m-2 s-1,,land,1,"C4MIP, LUMIP",carbon,,,,,,,,
cLitterCwd,Carbon Mass in Coarse Woody Debris,emMon,litter_wood_debris_carbon_content,,time: mean area: mean where land,longitude latitude time  ,kg C/m2,,land,2,"C4MIP, LUMIP",carbon,,,,,,,,
nLitterCwd,Nitrogen Mass in Coarse Woody Debris,emMon,litter_wood_debris_nitrogen_content,,time: mean area: mean where land,longitude latitude time  ,kg N/m2,,land,2,"C4MIP, LUMIP",carbon,,,,,,,,
chldiat,Diatom Chlorophyll Mass Concentration,emMon,mass_concentration_of_diatoms_expressed_as_chlorophyll_in_sea_water,chlorophyll from diatom phytoplankton component concentration alone,time: mean area: mean where sea,longitude latitude olevel time  ,kg m-3,None,ocnBgchem,3,C4MIP,obgc,,,,,,,,
chldiaz,Mass Concentration of Diazotrophs expressed as Chlorophyll in Sea Water,emMon,mass_concentration_of_diazotrophs_expressed_as_chlorophyll_in_sea_water,chlorophyll concentration from the diazotrophic phytoplankton component alone,time: mean area: mean where sea,longitude latitude olevel time  ,kg m-3,None,ocnBgchem,3,C4MIP,obgc,,,,,,,,
chlmisc,Other Phytoplankton Chlorophyll Mass Concentration,emMon,mass_concentration_of_miscellaneous_phytoplankton_expressed_as_chlorophyll_in_sea_water,chlorophyll from additional phytoplankton component concentrations alone,time: mean area: mean where sea,longitude latitude olevel time  ,kg m-3,None,ocnBgchem,3,C4MIP,obgc,,,,,,,,
chl,Total Chlorophyll Mass Concentration,emMon,mass_concentration_of_phytoplankton_expressed_as_chlorophyll_in_sea_water,"sum of chlorophyll from all phytoplankton group concentrations.  In most models this is equal to chldiat+chlmisc, that is the sum of Diatom Chlorophyll Mass Concentration plus Other Phytoplankton Chlorophyll Mass Concentration",time: mean area: mean where sea,longitude latitude olevel time  ,kg m-3,None,ocnBgchem,1,"C4MIP, LUMIP",obgc,,,,,,,,
chlpico,Mass Concentration of Picophytoplankton expressed as Chlorophyll in Sea Water,emMon,mass_concentration_of_picophytoplankton_expressed_as_chlorophyll_in_sea_water,chlorophyll concentration from the picophytoplankton (<2 um) component alone,time: mean area: mean where sea,longitude latitude olevel time  ,kg m-3,None,ocnBgchem,3,C4MIP,obgc,,,,,,,,
mmrbc,BC Mass Mixing Ratio,emMon,mass_fraction_of_black_carbon_dry_aerosol_in_air,,,longitude latitude   ,kg kg-1,None,atmos,0,PMIP,aerosol,,,,,,,,
mmrdust,Dust Aerosol Mass Mixing Ratio,emMon,mass_fraction_of_dust_dry_aerosol_in_air,,,longitude latitude   ,kg kg-1,None,atmos,0,PMIP,aerosol,,,,,,,,
mmraerno3,NO3 Aerosol Mass Mixing Ratio,emMon,mass_fraction_of_nitrate_dry_aerosol_in_air,,,longitude latitude   ,kg kg-1,None,atmos,0,PMIP,aerosol,,,,,,,,
mmrss,Sea Salt Mass Mixing Ratio,emMon,mass_fraction_of_seasalt_dry_aerosol_in_air,,,longitude latitude   ,kg kg-1,None,atmos,0,PMIP,aerosol,,,,,,,,
mmraerso4,Aerosol Sulfate Mass Mixing Ratio,emMon,mass_fraction_of_sulfate_dry_aerosol_in_air,,,longitude latitude   ,kg kg-1,None,atmos,0,PMIP,aerosol,,,,,,,,
nMineralNH4,Mineral ammonium in the soil,emMon,mineral_nh4_soil_nitrogen_content,SUM of ammonium over all soil layers,time: mean area: mean where land,longitude latitude time  ,kg N/m2,,land,2,"C4MIP, LUMIP",carbon,,,,,,,,
nMineralNO3,Mineral nitrate in the soil,emMon,mineral_no3_soil_nitrogen_content,SUM of nitrate over all soil layers,time: mean area: mean where land,longitude latitude time  ,kg N/m2,,land,2,"C4MIP, LUMIP",carbon,,,,,,,,
nMineral,Mineral nitrogen in the soil,emMon,mineral_soil_nitrogen_content,"SUM of ammonium, nitrite, nitrate, etc over all soil layers",time: mean area: mean where land,longitude latitude time  ,kg N/m2,,land,1,"C4MIP, LUMIP",carbon,,,,,,,,
cMisc,Carbon Mass in Other Living Compartments on Land,emMon,miscellaneous_living_matter_carbon_content,"e.g., labile, fruits, reserves, etc.",time: mean,longitude latitude time  ,kg m-2,None,land,2,LS3MIP,carbon,,,,,,,,
mrsos,Moisture in Upper Portion of Soil Column,emMon,moisture_content_of_soil_layer,the mass of water in all phases in a thin surface soil layer.,time: mean area: mean where land,longitude latitude slevel time  ,kg m-2,None,land,1,"C4MIP, LUMIP",land,,,,,,,,
mrsosLut,Moisture in Upper Portion of Soil Column of land use tile,emMon,moisture_content_of_soil_layer,the mass of water in all phases in a thin surface layer; integrate over uppermost 10cm,time: mean,? time ? ?,kg H2O  m-2,,land,1,LUMIP,land,,,,,,,,
nh4,Dissolved Ammonium Concentration,emMon,mole_concentration_of_ammonium_in_sea_water,,time: mean area: mean where sea,longitude latitude olevel time  ,mol m-3,None,ocnBgchem,2,C4MIP,obgc,,,,,,,,
arag,Aragonite Concentration,emMon,mole_concentration_of_aragonite_expressed_as_carbon_in_sea_water,"sum of particulate aragonite components (e.g. Phytoplankton, Detrital, etc.)",time: mean area: mean where sea,longitude latitude olevel time  ,mol m-3,None,ocnBgchem,2,C4MIP,obgc,,,,,,,,
bacc,Bacterial Carbon Concentration,emMon,mole_concentration_of_bacteria_expressed_as_carbon_in_sea_water,sum of bacterial carbon component concentrations,time: mean area: mean where sea,longitude latitude olevel time  ,mol m-3,None,ocnBgchem,3,C4MIP,obgc,,,,,,,,
phycalc,Mole Concentration of Calcareous Phytoplankton expressed as Carbon in Sea Water,emMon,mole_concentration_of_calcareous_phytoplankton_expressed_as_carbon_in_sea_water,carbon concentration from calcareous (calcite-producing) phytoplankton component alone,time: mean area: mean where sea,longitude latitude olevel time  ,mol m-3,None,ocnBgchem,3,C4MIP,obgc,,,,,,,,
calc,Calcite Concentration,emMon,mole_concentration_of_calcite_expressed_as_carbon_in_sea_water,"sum of particulate calcite component concentrations (e.g. Phytoplankton, Detrital, etc.)",time: mean area: mean where sea,longitude latitude olevel time  ,mol m-3,None,ocnBgchem,2,C4MIP,obgc,,,,,,,,
co3satarag,Mole Concentration of Carbonate ion for Seawater in equilibrium with pure Aragonite,emMon,mole_concentration_of_carbonate_ion_for_seawater_in equilibrium_with_pure_aragonite,,time: mean area: mean where sea,longitude latitude olevel time  ,mol m-3,None,ocnBgchem,2,C4MIP,obgc,,,,,,,,
co3satcalc,Mole Concentration of Carbonate ion for Seawater in equilibrium with pure Calcite,emMon,mole_concentration_of_carbonate_ion_for_seawater_in equilibrium_with_pure_calcite,,time: mean area: mean where sea,longitude latitude olevel time  ,mol m-3,None,ocnBgchem,2,C4MIP,obgc,,,,,,,,
co3,Mole Concentration of Carbonate ion in Seawater,emMon,mole_concentration_of_carbonate_ion_in_seawater,,time: mean area: mean where sea,longitude latitude olevel time  ,mol m-3,None,ocnBgchem,2,C4MIP,obgc,,,,,,,,
phydiat,Mole Concentration of Diatoms expressed as Carbon in Sea Water,emMon,mole_concentration_of_diatoms_expressed_as_carbon_in_sea_water,carbon from the diatom phytoplankton component concentration alone,time: mean area: mean where sea,longitude latitude olevel time  ,mol m-3,None,ocnBgchem,3,C4MIP,obgc,,,,,,,,
phydiaz,Mole Concentration of Diazotrophs Expressed as Carbon in Sea Water,emMon,mole_concentration_of_diazotrophs_expressed_as_carbon_in_sea_water,carbon concentration from the diazotrophic phytoplankton component alone,time: mean area: mean where sea,longitude latitude olevel time  ,mol m-3,None,ocnBgchem,3,C4MIP,obgc,,,,,,,,
dms,Dimethyl Sulphide Concentration,emMon,mole_concentration_of_dimethyl_sulfide_in_sea_water,,time: mean area: mean where sea,longitude latitude olevel time  ,mol m-3,None,ocnBgchem,3,"C4MIP, LUMIP",obgc,,,,,,,,
dissi13c,Concentration of DI13C,emMon,mole_concentration_of_dissolved_inorganic_c13_in_sea_water,as specified by C4MIP,time: mean area: mean where sea,longitude latitude alevel time  ,mol m-3,,land,2,"C4MIP, LUMIP, PMIP",carbon,,,,,,,,
dissi14c,Concentration of DI14C,emMon,mole_concentration_of_dissolved_inorganic_c14_in_sea_water,as specified by C4MIP,time: mean area: mean where sea,longitude latitude alevel time  ,mol m-3,,land,2,"C4MIP, LUMIP, PMIP",carbon,,,,,,,,
dissic,Dissolved Inorganic Carbon Concentration,emMon,mole_concentration_of_dissolved_inorganic_carbon_in_sea_water,Dissolved inorganic carbon (CO3+HCO3+H2CO3) concentration,time: mean area: mean where sea,longitude latitude olevel time  ,mol m-3,None,ocnBgchem,1,"C4MIP, LUMIP",obgc,,,,,,,,
dissicnat,Natural Dissolved Inorganic Carbon Concentration,emMon,mole_concentration_of_dissolved_inorganic_carbon_in_sea_water_natural_component,Dissolved inorganic carbon (CO3+HCO3+H2CO3) concentration at preindustrial atmospheric xCO2,time: mean area: mean where sea,longitude latitude alevel time  ,mol m-3,,ocean,1,C4MIP,obgc,,,,,,,,
dfe,Dissolved Iron Concentration,emMon,mole_concentration_of_dissolved_iron_in_sea_water,"dissolved iron in sea water is meant to include both Fe2+ and Fe3+ ions (but not, e.g., particulate detrital iron)",time: mean area: mean where sea,longitude latitude olevel time  ,mol m-3,None,ocnBgchem,1,C4MIP,obgc,,,,,,,,
dissoc,Dissolved Organic Carbon Concentration,emMon,mole_concentration_of_dissolved_organic_carbon_in_sea_water,Sum of dissolved carbon component concentrations explicitly represented (i.e. not ~40 uM refractory unless explicit),time: mean area: mean where sea,longitude latitude alevel time  ,mol m-3,,land,1,"C4MIP, LUMIP",carbon,,,,,,,,
zmeso,Mole Concentration of Mesozooplankton expressed as Carbon in Sea Water,emMon,mole_concentration_of_mesozooplankton_expressed_as_carbon_in_sea_water,carbon  concentration from mesozooplankton (20-200 um) component alone,time: mean area: mean where sea,longitude latitude olevel time  ,mol m-3,None,ocnBgchem,3,C4MIP,obgc,,,,,,,,
zmicro,Mole Concentration of Microzooplankton expressed as Carbon in Sea Water,emMon,mole_concentration_of_microzooplankton_expressed_as_carbon_in_sea_water,carbon  concentration from the microzooplankton (<20 um) component alone,time: mean area: mean where sea,longitude latitude olevel time  ,mol m-3,None,ocnBgchem,3,C4MIP,obgc,,,,,,,,
phymisc,Mole Concentration of Miscellaneous Phytoplankton expressed as Carbon in Sea Water,emMon,mole_concentration_of_miscellaneous_phytoplankton_expressed_as_carbon_in_sea_water,carbon concentration from additional phytoplankton component alone,time: mean area: mean where sea,longitude latitude olevel time  ,mol m-3,None,ocnBgchem,3,C4MIP,obgc,,,,,,,,
zoocmisc,Other Zooplankton Carbon Concentration,emMon,mole_concentration_of_miscellaneous_zooplankton_expressed_as_carbon_in_sea_water,"carbon from additional zooplankton component concentrations alone (e.g. Micro, meso).  Since the models all have different numbers of components, this variable has been included to provide a check for intercomparison between models since some phytoplankton groups are supersets.",time: mean area: mean where sea,longitude latitude olevel time  ,mol m-3,None,ocnBgchem,3,C4MIP,obgc,,,,,,,,
o2,Dissolved Oxygen Concentration,emMon,mole_concentration_of_molecular_oxygen_in_sea_water,,time: mean area: mean where sea,longitude latitude olevel time  ,mol m-3,None,ocnBgchem,1,"C4MIP, LUMIP",obgc,,,,,,,,
o2sat,Dissolved Oxygen Concentration at Saturation,emMon,mole_concentration_of_molecular_oxygen_in_sea_water_at_saturation,,time: mean area: mean where sea,longitude latitude alevel time  ,mol m-3,,ocean,1,C4MIP,obgc,,,,,,,,
no3,Dissolved Nitrate Concentration,emMon,mole_concentration_of_nitrate_in_sea_water,,time: mean area: mean where sea,longitude latitude olevel time  ,mol m-3,None,ocnBgchem,1,C4MIP,obgc,,,,,,,,
detoc,Detrital Organic Carbon Concentration,emMon,mole_concentration_of_organic_detritus_expressed_as_carbon_in_sea_water,sum of detrital organic carbon component concentrations,time: mean area: mean where sea,longitude latitude olevel time  ,mol m-3,None,ocnBgchem,2,C4MIP,obgc,,,,,,,,
bsi,Particulate Biogenic Silica Concentration,emMon,mole_concentration_of_particulate_matter_expressed_as_silicon_in_sea_water,sum of particulate silica component concentrations,time: mean area: mean where sea,longitude latitude olevel time  ,mol m-3,None,ocnBgchem,3,C4MIP,obgc,,,,,,,,
bfe,Particulate Biogenic Iron Concentration,emMon,mole_concentration_of_particulate_organic_matter_expressed_as_iron_in_sea_water,sum of particulate organic iron component concentrations,time: mean area: mean where sea,longitude latitude olevel time  ,mol m-3,None,ocnBgchem,3,C4MIP,obgc,,,,,,,,
pon,Particulate Organic Nitrogen Concentration,emMon,mole_concentration_of_particulate_organic_matter_expressed_as_nitrogen_in_sea_water,sum of particulate organic nitrogen component concentrations,time: mean area: mean where sea,longitude latitude olevel time  ,mol m-3,None,ocnBgchem,3,C4MIP,obgc,,,,,,,,
pop,Particulate Organic Phosphorus Concentration,emMon,mole_concentration_of_particulate_organic_matter_expressed_as_phosphorus_in_sea_water,sum of particulate organic phosphorus component concentrations,time: mean area: mean where sea,longitude latitude olevel time  ,mol m-3,None,ocnBgchem,3,C4MIP,obgc,,,,,,,,
po4,Dissolved Phosphate Concentration,emMon,mole_concentration_of_phosphate_in_sea_water,,time: mean area: mean where sea,longitude latitude olevel time  ,mol m-3,None,ocnBgchem,1,C4MIP,obgc,,,,,,,,
phyc,Phytoplankton Carbon Concentration,emMon,mole_concentration_of_phytoplankton_expressed_as_carbon_in_sea_water,"sum of phytoplankton carbon component concentrations.  In most (all?) cases this is the sum of phycdiat and phycmisc (i.e., Diatom Carbon Concentration and Non-Diatom Phytoplankton Carbon Concentration",time: mean area: mean where sea,longitude latitude olevel time  ,mol m-3,None,ocnBgchem,2,"C4MIP, LUMIP",obgc,,,,,,,,
phyfe,Phytoplankton Iron Concentration,emMon,mole_concentration_of_phytoplankton_expressed_as_iron_in_sea_water,sum of phytoplankton iron component concentrations,time: mean area: mean where sea,longitude latitude olevel time  ,mol m-3,None,ocnBgchem,3,C4MIP,obgc,,,,,,,,
phyn,Phytoplankton Nitrogen Concentration,emMon,mole_concentration_of_phytoplankton_expressed_as_nitrogen_in_sea_water,sum of phytoplankton nitrogen component concentrations,time: mean area: mean where sea,longitude latitude olevel time  ,mol m-3,None,ocnBgchem,3,C4MIP,obgc,,,,,,,,
phyp,Phytoplankton Phosphorus Concentration,emMon,mole_concentration_of_phytoplankton_expressed_as_phosphorus_in_sea_water,sum of phytoplankton phosphorus components,time: mean area: mean where sea,longitude latitude olevel time  ,mol m-3,None,ocnBgchem,3,C4MIP,obgc,,,,,,,,
physi,Phytoplankton Silica Concentration,emMon,mole_concentration_of_phytoplankton_expressed_as_silicon_in_sea_water,sum of phytoplankton silica component concentrations,time: mean area: mean where sea,longitude latitude olevel time  ,mol m-3,None,ocnBgchem,3,C4MIP,obgc,,,,,,,,
phypico,Mole Concentration of Picophytoplankton expressed as Carbon in Sea Water,emMon,mole_concentration_of_picophytoplankton_expressed_as_carbon_in_sea_water,carbon concentration from the picophytoplankton (<2 um) component alone,time: mean area: mean where sea,longitude latitude olevel time  ,mol m-3,None,ocnBgchem,3,C4MIP,obgc,,,,,,,,
si,Dissolved Silicate Concentration,emMon,mole_concentration_of_silicate_in_sea_water,,time: mean area: mean where sea,longitude latitude olevel time  ,mol m-3,None,ocnBgchem,1,C4MIP,obgc,,,,,,,,
zooc,Zooplankton Carbon Concentration,emMon,mole_concentration_of_zooplankton_expressed_as_carbon_in_sea_water,sum of zooplankton carbon component concentrations,time: mean area: mean where sea,longitude latitude olevel time  ,mol m-3,None,ocnBgchem,2,"C4MIP, LUMIP",obgc,,,,,,,,
co2s,Atmosphere CO2,emMon,mole_fraction_of_carbon_dioxide_in_air,"As co2, but only at the surface",time: mean,longitude latitude time  ,1.00E-06,,atmos,2,DCPP,carbon,,,,,,,,
cfc12,Moles Per Unit Mass of CFC-12 in Sea Water,emMon,moles_of_cfc12_per_unit_mass_in_sea_water,,time: mean area: mean where sea,longitude latitude alevel time  ,mol kg-1,,land,1,"C4MIP, LUMIP",obgc,,,,,,,,
sf6,Moles Per Unit Mass of SF6 in Sea Water,emMon,moles_of_sf6_per_unit_mass_in_sea_water,,time: mean area: mean where sea,longitude latitude alevel time  ,mol kg-1,,land,1,"C4MIP, LUMIP",obgc,,,,,,,,
fVegLitterMortality,Total Carbon Mass Flux from Vegetation to Litter as a result of mortality,emMon,mortality_litter_carbon_flux,needed to separate changing vegetation C turnover times resulting from changing allocation versus changing mortality,time: mean area: mean where land,longitude latitude time  ,kg C m-2 s-1,,land,2,"C4MIP, LUMIP",carbon,,,,,,,,
netAtmosLandC13Flux,Net Mass Flux of 13C between atmosphere and land (positive into land) as a result of all processes.,emMon,net_atmos_to_land_C13_flux,as specified by C4MIP,time: mean area: mean where land,longitude latitude time  ,kg m-2 s-1,,land,2,"C4MIP, LUMIP, PMIP",carbon,,,,,,,,
netAtmosLandC14Flux,Net Mass Flux of 14C between atmosphere and land (positive into land) as a result of all processes.,emMon,net_atmos_to_land_C14_flux,as specified by C4MIP,time: mean area: mean where land,longitude latitude time  ,kg m-2 s-1,,land,2,"C4MIP, LUMIP, PMIP",carbon,,,,,,,,
